customer,date,billing
LalN8,2018-11-09,15.05
y1eAn,2018-11-09,12.65
QGR9A,2018-11-09,22.73
LrUJX,2018-11-09,10.55
6Dlgm,2019-01-05,74.78
M6hH_,2018-11-09,15.21
Vc3bO,2018-12-01,14.72
oKKST,2018-11-10,20.22
Up06r,2018-11-09,7.38
1PFE5,2018-11-26,37.21
V3uNC,2018-11-27,19.41
7j9jk,2018-11-15,11.51
CX3tl,2018-11-09,7.64
Q4DEm,2018-11-09,7.17
LBbX1,2018-11-09,13.66
ZHX93,2018-12-07,24.9
5xFuf,2018-11-13,38.38
d5i2K,2018-11-15,9.39
lQHVo,2018-11-09,26.36
iHFRb,2018-11-13,38.38
w6nu_,2018-12-08,44.56
VzUoZ,2018-11-09,12.87
cbMHp,2018-11-09,11.08
YHNWt,2018-11-12,12.72
sV_O3,2018-11-09,25.97
z7aLZ,2018-11-28,20.35
YYcVO,2018-11-09,21.01
knWev,2018-11-26,25.99
a1pMb,2018-11-09,61.97
7Tgsp,2018-11-09,11.17
aGvhw,2018-11-09,28.27
ysAbS,2018-11-09,36.57
_knxz,2018-11-15,9.43
C~~QP,2018-11-15,13.03
O7_Cx,2018-11-19,25.98
GVg9J,2018-11-12,15.26
CVfFd,2018-11-09,16.05
qFGYv,2018-12-20,34.03
HYvOk,2018-11-09,4.29
ZH9uy,2018-11-09,12.72
dDCHC,2019-01-07,15.67
Lajl3,2018-11-09,55.6
VYZzQ,2018-11-19,21.21
s4PA7,2018-12-26,19.45
4fttX,2018-12-15,15.07
LNi6q,2018-11-10,37.19
sW5dV,2019-01-07,11.73
6a2zP,2018-11-14,51.78
SwZjX,2018-12-01,30.8
h9DWG,2018-11-09,13.91
oRv79,2018-12-04,94.49
8AXUX,2018-11-09,17.13
2kb1f,2018-12-06,20.42
Eg~2o,2018-11-09,24.91
s8aOV,2018-11-09,13.46
lWmTj,2018-11-14,11.01
~FhKG,2018-12-04,20.39
i7Dc7,2018-11-09,34.41
rlSid,2018-11-12,18.22
pd2MF,2019-01-12,19.5
Vuhy8,2018-12-04,13.94
eISs5,2018-11-13,31.19
BlveF,2018-11-19,23.28
CDoOY,2018-11-16,24.99
45vIi,2018-11-09,29.14
p0jWn,2018-11-12,6.97
X5~Tt,2018-11-12,13.66
F5Pzb,2018-11-09,5.79
4U_BX,2018-11-26,18.55
LeP5G,2018-11-09,20.62
C5M91,2018-11-23,3.39
zjERY,2018-11-21,15.48
YCIcK,2018-12-13,11.41
tQBbN,2018-11-12,22.93
aGLPp,2018-11-12,21.35
4wLDy,2018-12-11,16.44
75QkL,2018-11-09,7.6
hJa4v,2018-11-17,18.91
65i97,2018-11-09,16.55
WX~mD,2018-11-09,24.3
nPKy6,2018-11-17,43.52
HVeBK,2018-11-09,18.25
SdzqI,2018-12-08,12.61
9qcgF,2018-11-19,28.12
78oIS,2018-12-02,7.61
ok6Wc,2018-11-09,17.77
fFmv_,2018-11-09,20.14
15FDq,2018-11-23,13.24
IWbMH,2018-11-09,19.22
DKByJ,2018-11-09,14.4
PbSPw,2018-11-09,26.36
7jDRO,2018-11-23,40.35
CIEZc,2018-11-13,8.12
V9Loj,2018-11-09,14.15
jTQ_r,2018-12-04,57.4
hVNK_,2018-11-17,34.32
FAH4r,2018-11-14,62.85
w7MI5,2018-11-09,29.45
QAePV,2018-11-09,12.72
~QE1X,2018-11-11,14.23
DFdP5,2018-11-14,26.42
Uzc2K,2018-11-16,64.24
XV_ri,2018-11-09,28.6
HHDB9,2018-11-16,10.87
albHS,2018-11-25,17.77
85_AB,2018-11-20,16.13
sUrOC,2018-11-09,20.21
T3IMc,2018-11-09,57.63
V0JnH,2018-11-19,15.32
TLIVD,2018-11-13,24.04
zQUcq,2018-11-11,17.48
YL7na,2018-11-09,30.46
enysd,2018-11-20,59.78
d6GDr,2018-11-09,18.18
~jVLC,2018-11-09,41.25
XYShb,2018-11-09,17.63
OoRna,2018-11-24,37.19
srWNQ,2018-12-21,11.27
qQVON,2018-11-09,22.64
obiYj,2018-11-10,35.88
9Ixl1,2018-11-10,10.35
S5awj,2018-11-09,15.32
huWa5,2018-11-11,66.16
hQ8dW,2018-11-09,18.96
HsOmt,2018-11-09,61.65
wToVJ,2018-11-30,12.41
7wEKi,2018-11-19,14.34
ZYNMM,2018-11-09,12.93
~mfZq,2018-12-20,6.35
sQgLq,2018-11-09,45.32
B8NSV,2018-11-11,7.38
VQlVT,2018-11-23,39
y9m8C,2018-11-09,18.98
zXnfl,2018-11-09,27.67
_EO~V,2018-11-13,18.2
xrj~g,2018-11-09,29.09
CnwDa,2018-11-14,11.94
vaBD3,2018-11-09,12.14
qKEKU,2018-11-09,31.63
YVAO1,2018-11-09,40.56
yfOn0,2018-11-12,6.6
HHV_8,2018-11-10,0.25
uLTww,2018-12-05,26.54
_kKBr,2018-11-09,16.41
0HMAO,2018-11-09,16.74
LYCBi,2018-11-17,18.25
2xMJX,2018-11-16,22.23
Gs~DY,2018-12-07,28.98
yRg19,2018-12-07,15.41
2aaUD,2018-11-10,24.31
CJm0u,2018-11-09,37.34
iCDpS,2019-01-02,33.58
3Ibxz,2018-11-09,25.7
dhrcA,2018-11-09,23.71
1goHI,2018-11-09,23.6
OvroF,2018-11-12,91.92
B2Rlr,2018-11-15,46.28
~~Z6U,2018-11-09,32.49
g1WSb,2018-12-17,7.82
toQcd,2018-11-09,25.58
13avS,2019-01-06,12.52
fDVzV,2018-11-09,7.86
mvq9L,2018-11-16,8.96
d~VFT,2018-11-09,35.44
cRa5x,2018-11-13,13.62
_KI52,2018-11-25,18.14
SB1MO,2018-11-09,16.74
UNoeY,2018-11-13,16.43
wuSbd,2018-11-18,28.98
U4DSA,2018-11-09,14.76
jNDZ9,2018-11-09,21.37
H7zMR,2018-11-09,12.62
bxVcy,2018-11-09,20.87
b1Gb3,2018-11-16,25.92
Muhyz,2018-11-10,15.18
AYxkJ,2018-11-21,49.08
CXPT5,2018-11-13,9.14
trMnJ,2018-11-09,21.21
mBqag,2018-11-24,42.68
Oy_NP,2018-11-13,18.05
LMmIq,2018-11-30,28.01
ej5CC,2018-11-12,9.1
9rJRe,2018-11-29,12.1
5hFek,2018-11-19,24.19
YrQ60,2018-11-20,20.49
hXqES,2018-12-06,21
4g7Bt,2018-11-09,31.52
m0onC,2018-11-09,33.16
PqLEp,2018-11-28,19.46
i0QZC,2018-11-09,20.65
5iSZ4,2018-11-11,16.14
gQe30,2018-11-11,18.17
ZbRJG,2018-11-09,11.13
SRLgf,2018-11-22,5.87
mD9fZ,2018-11-18,8.9
3c4Ye,2018-12-13,9.66
388ho,2018-11-18,5.93
Tn7YM,2018-11-13,50.89
_mBDn,2018-11-25,21.67
bDA3f,2018-11-09,25.89
Gi9zd,2018-12-16,50.99
XLNJf,2018-11-09,31.06
zt9dZ,2018-11-09,23.65
PTICb,2018-11-09,55.41
B_ryf,2019-01-04,12.84
yU6Gj,2018-11-09,54.55
lvQ0q,2018-12-02,18.35
DDDsm,2018-11-09,28.87
rq4R1,2018-12-06,22.72
Ttwqr,2018-12-17,26.97
gL96v,2018-11-28,40.49
CLIh1,2018-11-09,11.17
RXVYz,2018-11-09,15.01
i_SB2,2018-11-18,12.21
sTI2h,2018-12-19,15.01
JG~Fg,2018-11-11,19.57
Zw2RF,2018-11-09,26.45
zrmxj,2018-11-18,39.18
KDl8A,2018-11-09,16.72
~M1ZM,2018-12-26,18.55
BAZKn,2018-11-09,34.7
_Ii34,2018-11-18,17.4
EKKI5,2018-11-09,23.38
lhC4n,2018-11-15,26.62
xXNdS,2018-11-09,40.59
GEt93,2018-11-09,21.85
a5xOU,2018-11-09,16.64
t682s,2018-11-09,21.3
EKG7d,2018-11-09,62.92
l7FQy,2018-11-09,27.44
MYcvo,2018-11-18,33.83
kr6Ta,2018-11-13,10.66
46Ux_,2018-11-24,40.87
9I5iO,2018-11-21,13.27
cbJ4e,2018-12-10,16.64
B5XKU,2018-11-09,14.36
6O~33,2018-11-09,62.95
5ssf5,2018-11-09,13.23
CGJVX,2018-11-09,31.36
5M7LZ,2018-11-23,16.47
9MY~c,2018-11-09,13.78
pUy8~,2018-11-11,32.93
Q9BGg,2018-11-19,12.5
mQHa1,2018-11-13,17.6
tKyTB,2018-11-09,18.91
iHwQm,2018-11-12,83.15
r9eNs,2018-11-09,21.01
7r0Sj,2018-11-12,5.41
APAfN,2018-11-09,1.95
NM2V9,2018-11-09,34.02
KK_5w,2018-11-09,43.96
gfFHc,2018-11-28,43.45
PWGwp,2018-11-09,14.95
D~446,2018-11-09,5.06
IsklD,2018-11-11,47.47
JgB3o,2018-11-25,8.98
Raxo5,2018-11-09,12.1
rTczt,2018-11-09,43.03
Yvfjo,2018-11-09,17.12
khmKq,2018-11-09,16.09
fFz92,2018-12-17,15.35
XfpZX,2018-11-18,27.69
v2g0e,2018-11-15,52.32
Kw4sV,2018-11-09,10.09
8spwt,2018-11-19,5.74
SHhQS,2018-11-09,115.6
OwC2g,2018-11-14,8.33
f7yre,2018-11-09,7.4
Bf74v,2018-11-21,22.38
ckhb3,2018-12-16,9.37
QzFLX,2018-11-09,38.35
w018y,2018-11-19,43.61
guohM,2018-11-09,34.01
kBzxz,2018-11-09,35.6
1_jPm,2018-11-09,41.78
YX4Dm,2018-11-11,22.6
~WU2I,2018-12-08,18.76
Kd3bJ,2018-11-15,5.49
zwntZ,2018-11-21,32.74
Daxhf,2018-11-09,10.46
7SEGm,2018-11-16,62.16
mh4Fa,2018-11-17,21.81
Tiwa8,2018-11-28,6.03
MrHa6,2018-11-09,57.63
8h9Ik,2018-11-09,12.79
TCAfo,2018-11-09,30.11
yqLBz,2018-11-21,9.4
iuanU,2018-12-06,39.87
aEF64,2018-11-13,2.08
D5F0z,2018-11-10,15.1
tZRFl,2018-11-16,29.11
H7tL5,2018-11-09,32.02
Ivs4U,2018-11-14,10.37
bYBoQ,2018-11-27,13.19
Ekmwx,2018-11-09,9.3
O~_DM,2018-11-11,9.72
j_uJe,2018-11-12,20.26
zP70V,2018-11-16,25.89
YObIk,2018-11-19,24.06
XOyv6,2018-11-09,30.65
aV2LP,2018-11-09,17.32
_p0LG,2018-11-09,32.8
aqFNk,2018-11-09,37.13
nnEsU,2018-11-24,38.74
GciUf,2018-11-23,50.04
fNKzK,2018-11-09,14.08
wX_dm,2018-11-15,14.88
zWVc4,2018-11-09,6.83
6xJne,2018-11-09,17.25
h8V8L,2018-11-09,39.61
3div3,2018-11-22,35.46
EKbr8,2018-11-09,20.05
KnHus,2018-11-19,24.93
SuTbw,2018-11-11,22.43
sxaJu,2018-11-09,19.14
6Y0Dz,2018-11-10,21.58
Bwufr,2018-11-09,28.44
nF4DQ,2018-11-09,12.11
80UpJ,2018-11-09,34.87
xpGjp,2018-11-15,13.72
DHVEo,2018-11-09,19.28
fZSLV,2018-11-12,15.42
TyTvO,2018-11-22,29.79
ggVXa,2018-11-20,18.72
sjSYd,2018-11-13,32.67
cpU1Y,2018-11-15,15.11
e~WT8,2018-11-18,35.81
ISEN2,2018-11-18,13.66
_ZGza,2018-11-19,18.62
lkDGI,2018-11-15,40.23
tsYEa,2018-11-09,19.91
pOpFk,2018-11-21,22.44
7Ja9d,2018-11-24,25.49
T2NFh,2018-11-09,22.37
qk4YD,2018-11-09,33.44
65GvP,2018-11-09,15.64
bETJp,2018-11-24,14.43
sT6oB,2018-11-18,11.12
TPjHm,2018-11-09,15.43
3YLbR,2018-11-20,20.18
ERtk8,2018-11-09,24.69
K6J~P,2018-11-22,13.77
d~Lks,2018-11-09,23.67
h26f8,2018-11-15,40.32
Smld~,2018-11-14,27.04
HAKp1,2018-11-13,29.35
8cORj,2018-11-09,16.17
WPIVv,2018-11-09,45.01
RVoCi,2018-11-16,24.08
NAKla,2018-11-15,13.14
zVebS,2018-11-19,14.13
P0UJc,2018-11-16,4.99
QHjUY,2018-11-17,24.35
JN2bF,2018-11-10,23.48
eeEc4,2018-11-11,16.79
nuoy7,2018-11-12,10.25
6cAe5,2018-11-13,10.48
DvxYD,2018-11-12,5.93
ctGd5,2018-11-17,30.76
VqDoF,2018-11-14,30.32
Za7cK,2018-11-20,14.53
zsiIk,2018-11-09,69.79
0vdxA,2018-11-09,0
XyqZd,2018-11-09,90.65
